"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"155","observed_and_imputed","Lab","chlor","chlor_mean","continuous",2567069,2567069,0,103.603455844924,2.71082371289351,1.3,102,103.777777777778,105.230769230769,143,1.9968224939016e-28
"156","imputed","Lab","chlor","chlor_mean","continuous",2567069,946426,0.631320389128613,103.657118811923,2.13491259806003,65.4666666666667,102.333333333333,103.777777777778,105,118,8.61532511149564e-130
"157","observed","Lab","chlor","chlor_min","continuous",2567069,1620643,0.368679610871387,101.093646953709,4.92471761654045,1,99,102,104,143,NA
"158","observed_and_imputed","Lab","chlor","chlor_min","continuous",2567069,2567069,0,101.073067295815,4.25843253397702,1,99,101,103,143,5.8943447727891e-06
"159","imputed","Lab","chlor","chlor_min","continuous",2567069,946426,0.631320389128613,101.037827056738,2.76675270335411,8.5,100,101,103,112,3.96846790017718e-24
"160","observed","Lab","chlor","chlor_mindiff","continuous",2567069,1336311,0.47944094997057,-0.497438451463294,1.58128209078831,-105.7,-0.0909090909090909,-0.0198412698412698,-0.00558659217877095,27,NA
"161","observed_and_imputed","Lab","chlor","chlor_mindiff","continuous",2567069,2567069,0,-0.294960820295928,1.18658443570885,-105.7,-0.0470588235294118,-0.0159574468085106,-0.00564971751412429,27,0
"162","imputed","Lab","chlor","chlor_mindiff","continuous",2567069,1230758,0.52055905002943,-0.0751181820332524,0.359132408415905,-16,-0.0303030303030303,-0.013671875,-0.0056980056980057,8,0
"163","observed","Lab","chlor","chlor_tv","continuous",2567069,1336311,0.47944094997057,0.160202797984858,0.437445716732894,0,0.00688277656494336,0.0157702803443614,0.055045871559633,62.0693205944798,NA
"164","observed_and_imputed","Lab","chlor","chlor_tv","continuous",2567069,2567069,0,0.112155127342273,0.346596010596106,0,0.00634920634920635,0.0132963854250225,0.0356999295296116,62.0693205944798,0
